question,option1,option2,option3,option4,answer
Which is the highest mountain peak in India?,Mount Everest,Kangchenjunga,Nanda Devi,Anamudi,Kangchenjunga
Who is known as the Father of the Indian Constitution?,Mahatma Gandhi,Dr. B. R. Ambedkar,Jawaharlal Nehru,Sardar Patel,Dr. B. R. Ambedkar
Which vitamin is produced in the human body through sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
What is the national flower of India?,Rose,Lily,Lotus,Sunflower,Lotus
Which is the largest state in India by area?,Maharashtra,Rajasthan,Madhya Pradesh,Uttar Pradesh,Rajasthan
What is the chemical symbol for Silver?,Au,Ag,Fe,Cu,Ag
Who discovered the law of gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Thomas Edison,Isaac Newton
Which is the smallest continent in the world?,Europe,Australia,Antarctica,South America,Australia
How many Fundamental Rights are currently guaranteed by the Indian Constitution?,5,6,7,8,6
Which river is known as the Sorrow of Bihar?,Ganga,Kosi,Yamuna,Son,Kosi
