question,option1,option2,option3,option4,answer
What is the capital of India?,Mumbai,New Delhi,Chennai,Kolkata,New Delhi
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
What is the SI unit of force?,Joule,Newton,Watt,Pascal,Newton
Who wrote the Indian National Anthem?,Rabindranath Tagore,Bankim Chandra Chattopadhyay,Subramania Bharati,Sarojini Naidu,Rabindranath Tagore
Which is the largest planet in the Solar System?,Earth,Saturn,Jupiter,Neptune,Jupiter
What is the currency of Japan?,Won,Yuan,Yen,Dollar,Yen
How many states are there in India?,26,28,29,30,28
Which gas is most abundant in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
Who was the first President of India?,Dr. Rajendra Prasad,Dr. S. Radhakrishnan,Jawaharlal Nehru,Sardar Patel,Dr. Rajendra Prasad
Which is the longest river in India?,Yamuna,Ganga,Godavari,Narmada,Ganga
